Jugador,Nacionalidad,Club,Pais_Club
Martin Zlomislić,Bosnia y Herzegovina,Rijeka,Croacia
Nihad Mujakić,Bosnia y Herzegovina,Gaziantep,Turquía
Dennis Hadžikadunić,Bosnia y Herzegovina,Sampdoria,Italia
Tarik Muharemović,Bosnia y Herzegovina,Sassuolo,Italia
Sead Kolašinac,Bosnia y Herzegovina,Atalanta,Italia
Amar Dedić,Bosnia y Herzegovina,Benfica,Portugal
Nikola Katić,Bosnia y Herzegovina,Schalke 04,Alemania
Stjepan Radeljić,Bosnia y Herzegovina,Rijeka,Croacia
Arjan Malić,Bosnia y Herzegovina,Sturm Graz,Austria
Benjamin Tahirović,Bosnia y Herzegovina,Brøndby,Dinamarca
Armin Gigović,Bosnia y Herzegovina,Young Boys,Suiza
Ivan Bašić,Bosnia y Herzegovina,Astana,Kazajistán
Ivan Šunjić,Bosnia y Herzegovina,Pafos FC,Chipre
Amar Memić,Bosnia y Herzegovina,Viktoria Plzeň,República Checa
Amir Hadžiahmetović,Bosnia y Herzegovina,Hull City,Inglaterra
Dženis Burnić,Bosnia y Herzegovina,Karlsruher SC,Alemania
Ermin Mahmić,Bosnia y Herzegovina,Slovan Liberec,República Checa
Samed Baždar,Bosnia y Herzegovina,Jagiellonia Białystok,Polonia
Ermedin Demirović,Bosnia y Herzegovina,VfB Stuttgart,Alemania
Edin Džeko,Bosnia y Herzegovina,Schalke 04,Alemania
Kerim Alajbegović,Bosnia y Herzegovina,Red Bull Salzburg,Austria
Esmir Bajraktarević,Bosnia y Herzegovina,PSV Eindhoven,Países Bajos
Haris Tabaković,Bosnia y Herzegovina,Borussia Mönchengladbach,Alemania
Jovo Lukić,Bosnia y Herzegovina,Universitatea Cluj,Rumania
Dayne St. Clair,Canadá,Inter Miami CF,Estados Unidos
Maxime Crépeau,Canadá,Orlando City SC,Estados Unidos
Owen Goodman,Canadá,Barnsley,Inglaterra
Alistair Johnston,Canadá,Celtic,Escocia
Derek Cornelius,Canadá,Marseille,Francia
Richie Laryea,Canadá,Toronto FC,Canadá
Niko Sigur,Canadá,Hajduk Split,Croacia
Joel Waterman,Canadá,Chicago Fire FC,Estados Unidos
Luc De Fougerolles,Canadá,FCV Dender,Bélgica
Moïse Bombito,Canadá,Nice,Francia
Alphonso Davies,Canadá,Bayern Múnich,Alemania
Alfie Jones,Canadá,Middlesbrough,Inglaterra
Stephen Eustáquio,Canadá,Porto,Portugal
Ismaël Koné,Canadá,Sassuolo,Italia
Tajon Buchanan,Canadá,Villarreal,España
Mathieu Choinière,Canadá,Los Angeles FC,Estados Unidos
Ali Ahmed,Canadá,Norwich City,Inglaterra
Nathan Saliba,Canadá,Anderlecht,Bélgica
Liam Millar,Canadá,Hull City,Inglaterra
Jacob Shaffelburg,Canadá,Los Angeles FC,Estados Unidos
Jonathan Osorio,Canadá,Toronto FC,Canadá
Jayden Nelson,Canadá,Austin FC,Estados Unidos
Jonathan David,Canadá,Juventus,Italia
Cyle Larin,Canadá,Southampton,Inglaterra
Tani Oluwaseyi,Canadá,Villarreal,España
Promise David,Canadá,Union Saint-Gilloise,Bélgica
Salah Zakaria,Catar,Al Duhail,Catar
Mahmoud Abunada,Catar,Al Rayyan,Catar
Meshaal Barsham,Catar,Al Sadd,Catar
Hashmi Hussein,Catar,Al Arabi,Catar
Ayoub Alawi,Catar,Al Gharafa,Catar
Boualem Khoukhi,Catar,Al Sadd,Catar
Pedro Miguel,Catar,Al Sadd,Catar
Issa Laye,Catar,Al Arabi,Catar
Lucas Mendes,Catar,Al Wakrah,Catar
Sultan Al-Brake,Catar,Al Duhail,Catar
Homam Al-Amin,Catar,Cultural Leonesa,España
Mohammed Al-Manai,Catar,Al Shamal,Catar
Jassem Jaber,Catar,Al Arabi,Catar
Karim Boudiaf,Catar,Al Duhail,Catar
Ahmed Fathi,Catar,Al Arabi,Catar
Abdulaziz Hatem,Catar,Al Rayyan,Catar
Assim Madibo,Catar,Al Wakrah,Catar
Tahseen Mohammed,Catar,Al Duhail,Catar
Edmilson Junior,Catar,Al Duhail,Catar
Almoez Ali,Catar,Al Duhail,Catar
Akram Afif,Catar,Al Sadd,Catar
Mohammed Muntari,Catar,Al Gharafa,Catar
Youssef Abdulrazzaq,Catar,Al Wakrah,Catar
Ahmed Alaa,Catar,Al Rayyan,Catar
Hassan Al-Haydos,Catar,Al Sadd,Catar
Ahmed Al-Janahi,Catar,Al Gharafa,Catar
Marvin Keller,Suiza,Young Boys,Suiza
Gregor Kobel,Suiza,Borussia Dortmund,Alemania
Yvon Mvogo,Suiza,Lorient,Francia
Manuel Akanji,Suiza,Inter de Milán,Italia
Aurèle Amenda,Suiza,Eintracht Frankfurt,Alemania
Eray Cömert,Suiza,Valencia,España
Nico Elvedi,Suiza,Borussia Mönchengladbach,Alemania
Luca Jaquez,Suiza,Stuttgart,Alemania
Miro Muheim,Suiza,Hamburger SV,Alemania
Ricardo Rodríguez,Suiza,Real Betis,España
Silvan Widmer,Suiza,Mainz 05,Alemania
Michel Aebischer,Suiza,Pisa,Italia
Remo Freuler,Suiza,Bologna,Italia
Ardon Jashari,Suiza,AC Milan,Italia
Fabian Rieder,Suiza,Augsburg,Alemania
Djibril Sow,Suiza,Sevilla,España
Granit Xhaka,Suiza,Sunderland,Inglaterra
Denis Zakaria,Suiza,Monaco,Francia
Zeki Amdouni,Suiza,Burnley,Inglaterra
Breel Embolo,Suiza,Rennes,Francia
Dan Ndoye,Suiza,Nottingham Forest,Inglaterra
Noah Okafor,Suiza,Leeds United,Inglaterra
Rubén Vargas,Suiza,Sevilla,España
Christian Fassnacht,Suiza,Young Boys,Suiza
Cedric Itten,Suiza,Fortuna Düsseldorf,Alemania
Johan Manzambi,Suiza,Freiburg,Alemania
Alisson,Brasil,Liverpool,Inglaterra
Ederson,Brasil,Fenerbahçe,Turquía
Weverton,Brasil,Grêmio,Brasil
Alex Sandro,Brasil,Flamengo,Brasil
