Jugador,Nacionalidad,Club,Pais_Club
Theo Bongonda,República Democrática del Congo,Spartak Moscú,Rusia
Brian Cipenga,República Democrática del Congo,Castellon,España
Meshack Elia,República Democrática del Congo,Alanyaspor,Turquía
Gael Kakuta,República Democrática del Congo,Larisa,Grecia
Edo Kayembe,República Democrática del Congo,Watford,Inglaterra
Nathanael Mbuku,República Democrática del Congo,Montpellier,Francia
Samuel Moutoussamy,República Democrática del Congo,Atromitos,Grecia
Ngal'ayel Mukau,República Democrática del Congo,Lille,Francia
Charles Pickel,República Democrática del Congo,Espanyol,España
Noah Sadiki,República Democrática del Congo,Sunderland,Inglaterra
Cedric Bakambu,República Democrática del Congo,Real Betis,España
Simon Banza,República Democrática del Congo,Al Jazira,Emiratos Árabes Unidos
Fiston Mayele,República Democrática del Congo,Pyramids,Egipto
Yoane Wissa,República Democrática del Congo,Newcastle United,Inglaterra
Benjamin Asare,Ghana,Accra Hearts of Oak,Ghana
Lawrence Ati-Zigi,Ghana,St. Gallen,Suiza
Joseph Anang,Ghana,St Patrick's Athletic,Irlanda
Baba Abdul Rahman,Ghana,PAOK,Grecia
Gideon Mensah,Ghana,Auxerre,Francia
Marvin Senaya,Ghana,Auxerre,Francia
Alidu Seidu,Ghana,Rennes,Francia
Abdul Mumin,Ghana,Rayo Vallecano,España
Jerome Opoku,Ghana,İstanbul Başakşehir,Turquía
Jonas Adjetey,Ghana,VfL Wolfsburg,Alemania
Kojo Oppong Peprah,Ghana,Nice,Francia
Elisha Owusu,Ghana,Auxerre,Francia
Thomas Partey,Ghana,Villarreal,España
Kwasi Sibo,Ghana,Real Oviedo,España
Augustine Boakye,Ghana,Saint-Étienne,Francia
Caleb Yirenkyi,Ghana,Nordsjælland,Dinamarca
Abdul Fatawu Issahaku,Ghana,Leicester City,Inglaterra
Kamaldeen Sulemana,Ghana,Atalanta,Italia
Christopher Bonsu Baah,Ghana,Al-Qadsiah,Arabia Saudita
Brandon Thomas-Asante,Ghana,Coventry City,Inglaterra
Prince Kwabena Adu,Ghana,Viktoria Plzeň,República Checa
Ernest Nuamah,Ghana,Lyon,Francia
Antoine Semenyo,Ghana,Manchester City,Inglaterra
Inaki Williams,Ghana,Athletic Bilbao,España
Jordan Ayew,Ghana,Leicester City,Inglaterra
Thibaut Courtois,Bélgica,Real Madrid,España
Senne Lammens,Bélgica,Manchester United,Inglaterra
Mike Penders,Bélgica,Strasbourg,Francia
Timothy Castagne,Bélgica,Fulham,Inglaterra
Zeno Debast,Bélgica,Sporting CP,Portugal
Maxim De Cuyper,Bélgica,Brighton,Inglaterra
Koni De Winter,Bélgica,AC Milan,Italia
Brandon Mechele,Bélgica,Club Brugge,Bélgica
Thomas Meunier,Bélgica,Lille,Francia
Nathan Ngoy,Bélgica,Lille,Francia
Joaquin Seys,Bélgica,Club Brugge,Bélgica
Arthur Theate,Bélgica,Eintracht Frankfurt,Alemania
Kevin De Bruyne,Bélgica,Napoli,Italia
Amadou Onana,Bélgica,Aston Villa,Inglaterra
Nicolas Raskin,Bélgica,Rangers,Escocia
Youri Tielemans,Bélgica,Aston Villa,Inglaterra
Hans Vanaken,Bélgica,Club Brugge,Bélgica
Axel Witsel,Bélgica,Girona,España
Charles De Ketelaere,Bélgica,Atalanta,Italia
Jérémy Doku,Bélgica,Manchester City,Inglaterra
Matias Fernandez-Pardo,Bélgica,Lille,Francia
Romelu Lukaku,Bélgica,Napoli,Italia
Dodi Lukebakio,Bélgica,Benfica,Portugal
Diego Moreira,Bélgica,Strasbourg,Francia
Alexis Saelemaekers,Bélgica,AC Milan,Italia
Leandro Trossard,Bélgica,Arsenal,Inglaterra
Mohamed El Shenawy,Egipto,Al Ahly,Egipto
Mostafa Shobeir,Egipto,Al Ahly,Egipto
El Mahdi Soliman,Egipto,Zamalek,Egipto
Mohamed Alaa,Egipto,El Gouna,Egipto
Mohamed Hany,Egipto,Al Ahly,Egipto
Tarek Alaa,Egipto,Zed FC,Egipto
Hamdy Fathy,Egipto,Al Wakrah,Catar
Ramy Rabia,Egipto,Al Ain,Emiratos Árabes Unidos
Yasser Ibrahim,Egipto,Al Ahly,Egipto
Hossam Abdelmaguid,Egipto,Zamalek,Egipto
Mohamed Abdelmonem,Egipto,Nice,Francia
Ahmed Fatouh,Egipto,Zamalek,Egipto
Karim Hafez,Egipto,Pyramids,Egipto
Marwan Attia,Egipto,Al Ahly,Egipto
Mohanad Lasheen,Egipto,Pyramids,Egipto
Nabil Emad,Egipto,Al Najma,Arabia Saudita
Mahmoud Saber,Egipto,Zed FC,Egipto
Ahmed Zizo,Egipto,Al Ahly,Egipto
Emam Ashour,Egipto,Al Ahly,Egipto
Mostafa Ziko,Egipto,Pyramids,Egipto
Mahmoud Trezeguet,Egipto,Al Ahly,Egipto
Ibrahim Adel,Egipto,Nordsjælland,Dinamarca
Haissem Hassan,Egipto,Real Oviedo,España
Omar Marmoush,Egipto,Manchester City,Inglaterra
Mohanad Salah,Egipto,Unattached,Sin equipo
Hamza Abdelkarim,Egipto,Barcelona,España
Alireza Beiranvand,Irán,Tractor,Irán
Hossein Hosseini,Irán,Sepahan,Irán
Payam Niazmand,Irán,Persepolis,Irán
Danial Eiri,Irán,Malavan,Irán
Ehsan Hajsafi,Irán,Sepahan,Irán
Saleh Hardani,Irán,Esteghlal,Irán
Hossein Kanaani,Irán,Persepolis,Irán
Shoja Khalilzadeh,Irán,Tractor,Irán
Milad Mohammadi,Irán,Persepolis,Irán
Ali Nemati,Irán,Foolad,Irán
Ramin Rezaeian,Irán,Foolad,Irán
Rouzbeh Cheshmi,Irán,Esteghlal,Irán
Saeid Ezatolahi,Irán,Shabab Al-Ahli,Emiratos Árabes Unidos
Mehdi Ghayedi,Irán,Al-Nasr,Emiratos Árabes Unidos
Saman Ghoddos,Irán,Kalba,Emiratos Árabes Unidos
Mohammad Ghorbani,Irán,Al-Wahda,Emiratos Árabes Unidos
Alireza Jahanbakhsh,Irán,Dender,Bélgica
Mohammad Mohebi,Irán,Rostov,Rusia
Amir Mohammad Razzaghinia,Irán,Esteghlal,Irán
Mehdi Torabi,Irán,Tractor,Irán
Aria Yousefi,Irán,Sepahan,Irán
Ali Alipour,Irán,Persepolis,Irán
Dennis Dargahi,Irán,Standard Liège,Bélgica
Amirhossein Hosseinzadeh,Irán,Tractor,Irán
Shahriyar Moghanlou,Irán,Kalba,Emiratos Árabes Unidos
Mehdi Taremi,Irán,Olympiacos,Grecia
Max Crocombe,Nueva Zelanda,Millwall,Inglaterra
Alex Paulsen,Nueva Zelanda,Lechia Gdansk,Polonia
Michael Woud,Nueva Zelanda,Auckland FC,Nueva Zelanda
Tim Payne,Nueva Zelanda,Wellington Phoenix,Nueva Zelanda
Francis De Vries,Nueva Zelanda,Auckland FC,Nueva Zelanda
Tyler Bindon,Nueva Zelanda,Nottingham Forest,Inglaterra
Michael Boxall,Nueva Zelanda,Minnesota United,Estados Unidos
Liberato Cacace,Nueva Zelanda,Wrexham,Inglaterra
Nando Pijnaker,Nueva Zelanda,Auckland FC,Nueva Zelanda
Finn Surman,Nueva Zelanda,Portland Timbers,Estados Unidos
Callan Elliot,Nueva Zelanda,Auckland FC,Nueva Zelanda
Tommy Smith,Nueva Zelanda,Braintree Town,Inglaterra
Joe Bell,Nueva Zelanda,Viking,Noruega
Marko Stamenic,Nueva Zelanda,Swansea City,Inglaterra
Alex Rufer,Nueva Zelanda,Wellington Phoenix,Nueva Zelanda
Ryan Thomas,Nueva Zelanda,PEC Zwolle,Países Bajos
Lachlan Bayliss,Nueva Zelanda,Newcastle Jets,Australia
Matt Garbett,Nueva Zelanda,NAC Breda,Países Bajos
Eli Just,Nueva Zelanda,Horsens,Dinamarca
Callum McCowatt,Nueva Zelanda,Silkeborg,Dinamarca
Ben Old,Nueva Zelanda,Saint-Étienne,Francia
Sarpreet Singh,Nueva Zelanda,Hansa Rostock,Alemania
Mat Ryan,Australia,Levante,España
Paul Izzo,Australia,Randers,Dinamarca
Patrick Beach,Australia,Melbourne City,Australia
Aziz Behich,Australia,Melbourne City,Australia
Jordan Bos,Australia,Feyenoord,Países Bajos
Cameron Burgess,Australia,Swansea City,Inglaterra
Alessandro Circati,Australia,Parma,Italia
Milos Degenek,Australia,APOEL Nicosia,Chipre
Jason Geria,Australia,Albirex Niigata,Japón
Lucas Herrington,Australia,Colorado Rapids,Estados Unidos
Jacob Italiano,Australia,Grazer AK,Austria
Harry Souttar,Australia,Sheffield United,Inglaterra
Kai Trewin,Australia,New York City FC,Estados Unidos
Cammy Devlin,Australia,Heart of Midlothian,Escocia
Ajdin Hrustic,Australia,Heracles Almelo,Países Bajos
Jackson Irvine,Australia,FC St. Pauli,Alemania
Connor Metcalfe,Australia,FC St. Pauli,Alemania
Paul Okon-Englster,Australia,Sydney FC,Australia
Aiden O'Neill,Australia,New York City FC,Estados Unidos
Nestor Irankunda,Australia,Bayern Múnich,Alemania
Mathew Leckie,Australia,Melbourne City,Australia
Awer Mabil,Australia,Castellón,España
Mohammed Toure,Australia,Randers FC,Dinamarca
Nishan Velupillay,Australia,Melbourne Victory,Australia
Cristiano Volpato,Australia,Sassuolo,Italia
Tete Yengi,Australia,Machida Zelvia,Japón
Hernan Galindez,Ecuador,Huracán,Argentina
Moises Ramirez,Ecuador,AE Kifisia,Grecia
Gonzalo Valle,Ecuador,LDU Quito,Ecuador
Piero Hincapie,Ecuador,Arsenal,Inglaterra
Willian Pacho,Ecuador,Paris Saint-Germain,Francia
Pervis Estupinan,Ecuador,AC Milan,Italia
Felix Torres,Ecuador,Internacional,Brasil
Joel Ordonez,Ecuador,Club Brugge,Bélgica
Jackson Porozo,Ecuador,Tijuana,México
Angelo Preciado,Ecuador,Atletico Mineiro,Brasil
Moises Caicedo,Ecuador,Chelsea,Inglaterra
Alan Franco,Ecuador,Atletico Mineiro,Brasil
Kendry Paez,Ecuador,River Plate,Argentina
Pedro Vite,Ecuador,UNAM Pumas,México
Jordy Alcivar,Ecuador,Independiente del Valle,Ecuador
Denil Castillo,Ecuador,Midtjylland,Dinamarca
Yaimar Medina,Ecuador,Genk,Bélgica
Enner Valencia,Ecuador,Pachuca,México
Kevin Rodriguez,Ecuador,Union Saint-Gilloise,Bélgica
Jordy Caicedo,Ecuador,Huracán,Argentina
Nilson Angulo,Ecuador,Sunderland,Inglaterra
Anthony Valencia,Ecuador,Antwerp,Bélgica
Jeremy Arevalo,Ecuador,Stuttgart,Alemania
Mark Flekken,Países Bajos,Bayer Leverkusen,Alemania
Robin Roefs,Países Bajos,Sunderland,Inglaterra
Bart Verbruggen,Países Bajos,Brighton,Inglaterra
Nathan Aké,Países Bajos,Manchester City,Inglaterra
Denzel Dumfries,Países Bajos,Inter de Milán,Italia
Jorrel Hato,Países Bajos,Chelsea,Inglaterra
Lutsharel Geertruida,Países Bajos,Sunderland,Inglaterra
Micky van de Ven,Países Bajos,Tottenham Hotspur,Inglaterra
Virgil van Dijk,Países Bajos,Liverpool,Inglaterra
Jan Paul van Hecke,Países Bajos,Brighton,Inglaterra
Mats Wieffer,Países Bajos,Brighton,Inglaterra
Frenkie de Jong,Países Bajos,Barcelona,España
Marten de Roon,Países Bajos,Atalanta,Italia
Ryan Gravenberch,Países Bajos,Liverpool,Inglaterra
Justin Kluivert,Países Bajos,Bournemouth,Inglaterra
Teun Koopmeiners,Países Bajos,Juventus,Italia
Tijjani Reijnders,Países Bajos,Manchester City,Inglaterra
Guus Til,Países Bajos,PSV Eindhoven,Países Bajos
Quinten Timber,Países Bajos,Olympique de Marseille,Francia
Brian Brobbey,Países Bajos,Sunderland,Inglaterra
Memphis Depay,Países Bajos,Corinthians,Brasil
Cody Gakpo,Países Bajos,Liverpool,Inglaterra
Noa Lang,Países Bajos,Galatasaray,Turquía
Donyell Malen,Países Bajos,Roma,Italia
Crysencio Summerville,Países Bajos,West Ham United,Inglaterra
Wout Weghorst,Países Bajos,Ajax,Países Bajos
Zion Suzuki,Japón,Parma,Italia
Keisuke Osako,Japón,Sanfrecce Hiroshima,Japón
Tomoki Hayakawa,Japón,Kashima Antlers,Japón
Yuto Nagatomo,Japón,FC Tokyo,Japón
Takehiro Tomiyasu,Japón,Ajax,Países Bajos
Ko Itakura,Japón,Ajax,Países Bajos
Hiroki Ito,Japón,Bayern Múnich,Alemania
Yukinari Sugawara,Japón,Werder Bremen,Alemania
Shogo Taniguchi,Japón,Sint-Truiden,Bélgica
Tsuyoshi Watanabe,Japón,Feyenoord,Países Bajos
Ayumu Seko,Japón,Le Havre,Francia
Junnosuke Suzuki,Japón,Copenhagen,Dinamarca
Wataru Endo,Japón,Liverpool,Inglaterra
Takefusa Kubo,Japón,Real Sociedad,España
Ritsu Doan,Japón,Eintracht Frankfurt,Alemania
Daichi Kamada,Japón,Crystal Palace,Inglaterra
Ao Tanaka,Japón,Leeds United,Inglaterra
Keito Nakamura,Japón,Reims,Francia
Junya Ito,Japón,Genk,Bélgica
Kaishu Sano,Japón,Mainz 05,Alemania
Viktor Johansson,Suecia,Stoke City,Inglaterra
Kristoffer Nordfeldt,Suecia,AIK,Suecia
Jacob Widell Zetterström,Suecia,Derby County,Inglaterra
Hjalmar Ekdal,Suecia,Burnley,Inglaterra
Gabriel Gudmundsson,Suecia,Leeds United,Inglaterra
Isak Hien,Suecia,Atalanta,Italia
Gustaf Lagerbielke,Suecia,Braga,Portugal
Victor Lindelöf,Suecia,Aston Villa,Inglaterra
Eric Smith,Suecia,FC St. Pauli,Alemania
Taha Ali,Suecia,Malmö FF,Suecia
Yasin Ayari,Suecia,Brighton,Inglaterra
Lucas Bergvall,Suecia,Tottenham Hotspur,Inglaterra
Jesper Karlström,Suecia,Udinese,Italia
Benjamin Nygren,Suecia,Celtic,Escocia
Ken Sema,Suecia,Pafos,Chipre
Mattias Svanberg,Suecia,Wolfsburg,Alemania
Besfort Zeneli,Suecia,Union Saint-Gilloise,Bélgica
Alexander Bernhardsson,Suecia,Holstein Kiel,Alemania
Anthony Elanga,Suecia,Newcastle United,Inglaterra
Viktor Gyökeres,Suecia,Arsenal,Inglaterra
Alexander Isak,Suecia,Liverpool,Inglaterra
Gustaf Nilsson,Suecia,Club Brugge,Bélgica
Sabri Ben Hassan,Túnez,Étoile du Sahel,Túnez
Abdelmouhib Chamakh,Túnez,Club Africain,Túnez
Aymen Dahmene,Túnez,CS Sfaxien,Túnez
Ali Abdi,Túnez,OGC Nice,Francia
Mohamed Amine Ben Hamida,Túnez,Espérance de Tunis,Túnez
Adem Arous,Túnez,Kasımpaşa,Turquía
Dylan Bronn,Túnez,Servette,Suiza
Raed Chikhaoui,Túnez,US Monastir,Túnez
Moutaz Neffati,Túnez,IFK Norrköping,Suecia
Omar Rekik,Túnez,Maribor,Eslovenia
Montassar Talbi,Túnez,Lorient,Francia
Yan Valery,Túnez,Young Boys,Suiza
Mortadha Ben Ouanes,Túnez,Kasımpaşa,Turquía
Anis Ben Slimane,Túnez,Norwich City,Inglaterra
Ismael Gharbi,Túnez,Augsburg,Alemania
Rani Khedira,Túnez,Union Berlin,Alemania
Hadj Mahmoud,Túnez,Lugano,Suiza
Hannibal Mejbri,Túnez,Burnley,Inglaterra
Ellyes Skhiri,Túnez,Eintracht Frankfurt,Alemania
Elias Achouri,Túnez,FC Copenhagen,Dinamarca
Khalil Ayari,Túnez,Lorient,Francia
Firas Chaouat,Túnez,Al-Ahli,Arabia Saudita
Rayan Elloumi,Túnez,US Monastir,Túnez
Hazem Mastouri,Túnez,US Monastir,Túnez
Elias Saad,Túnez,FC St. Pauli,Alemania
Sebastian Tounekti,Túnez,Haugesund,Noruega
Roberto Fernandez,Paraguay,Cerro Porteño,Paraguay
Orlando Gill,Paraguay,San Lorenzo,Argentina
Gaston Olveira,Paraguay,Olimpia,Paraguay
Gustavo Gomez,Paraguay,Palmeiras,Brasil
Junior Alonso,Paraguay,Atlético Mineiro,Brasil
Fabian Balbuena,Paraguay,Grêmio,Brasil
Omar Alderete,Paraguay,Sunderland,Inglaterra
Juan Caceres,Paraguay,Dynamo Moscú,Rusia
Jose Canale,Paraguay,Lanús,Argentina
Alexandro Maidana,Paraguay,Talleres,Argentina
Gustavo Velazquez,Paraguay,Cerro Porteño,Paraguay
Andres Cubas,Paraguay,Vancouver Whitecaps,Canadá
Diego Gomez,Paraguay,Brighton & Hove Albion,Inglaterra
Damian Bobadilla,Paraguay,São Paulo,Brasil
Braian Ojeda,Paraguay,Orlando City,Estados Unidos
Matias Galarza,Paraguay,Atlanta United,Estados Unidos
Mauricio Magalhaes,Paraguay,Palmeiras,Brasil
Miguel Almiron,Paraguay,Atlanta United,Estados Unidos
Ramon Sosa,Paraguay,Palmeiras,Brasil
Antonio Sanabria,Paraguay,Cremonese,Italia
Julio Enciso,Paraguay,Strasbourg,Francia
Gabriel Avalos,Paraguay,Independiente,Argentina
Alex Arce,Paraguay,Independiente Rivadavia,Argentina
Isidro Pitta,Paraguay,Red Bull Bragantino,Brasil
Gustavo Caballero,Paraguay,Portsmouth,Inglaterra
Yahia Fofana,Costa de Marfil,Çaykur Rizespor,Turquía
Mohamed Koné,Costa de Marfil,Royal Charleroi,Bélgica
Alban Lafont,Costa de Marfil,Panathinaikos,Grecia
Emmanuel Agbadou,Costa de Marfil,Beşiktaş,Turquía
Clément Akpa,Costa de Marfil,Auxerre,Francia
Ousmane Diomandé,Costa de Marfil,Sporting CP,Portugal
Guéla Doué,Costa de Marfil,Strasbourg,Francia
Ghislain Konan,Costa de Marfil,Gil Vicente,Portugal
Odilon Kossounou,Costa de Marfil,Atalanta,Italia
Evan Ndicka,Costa de Marfil,AS Roma,Italia
Wilfried Singo,Costa de Marfil,Galatasaray,Turquía
Seko Fofana,Costa de Marfil,FC Porto,Portugal
Parfait Guiagon,Costa de Marfil,Sporting Charleroi,Bélgica
Christ Inao Oulaï,Costa de Marfil,Trabzonspor,Turquía
Franck Kessié,Costa de Marfil,Al-Ahli,Arabia Saudita
Ibrahim Sangaré,Costa de Marfil,Nottingham Forest,Inglaterra
Jean-Mickaël Seri,Costa de Marfil,NK Maribor,Eslovenia
Simon Adingra,Costa de Marfil,Monaco,Francia
Ange-Yoan Bonny,Costa de Marfil,Inter de Milán,Italia
Amad Diallo,Costa de Marfil,Manchester United,Inglaterra
Oumar Diakite,Costa de Marfil,Cercle Brugge,Bélgica
Yan Diomande,Costa de Marfil,RB Leipzig,Alemania
Evann Guessand,Costa de Marfil,Aston Villa,Inglaterra
Nicolas Pepe,Costa de Marfil,Villarreal,España
Bazoumana Toure,Costa de Marfil,Hoffenheim,Alemania
Elye Wahi,Costa de Marfil,Nice,Francia
Ryan Christie,Escocia,Bournemouth,Inglaterra
Findlay Curtis,Escocia,Rangers,Escocia
Lewis Ferguson,Escocia,Bologna,Italia
Ben Gannon-Doak,Escocia,Liverpool,Inglaterra
Billy Gilmour,Escocia,Napoli,Italia
John McGinn,Escocia,Aston Villa,Inglaterra
Kenny McLean,Escocia,Norwich City,Inglaterra
Scott McTominay,Escocia,Napoli,Italia
Che Adams,Escocia,Torino,Italia
Lyndon Dykes,Escocia,Birmingham City,Inglaterra
George Hirst,Escocia,Ipswich Town,Inglaterra
Lawrence Shankland,Escocia,Hearts,Escocia
Ross Stewart,Escocia,Southampton,Inglaterra
Luka Modric,Croacia,Real Madrid,España
Mateo Kovacic,Croacia,Manchester City,Inglaterra
Mario Pasalic,Croacia,Atalanta,Italia
Nikola Vlasic,Croacia,Torino,Italia
Luka Sucic,Croacia,Real Sociedad,España
Martin Baturina,Croacia,Dinamo Zagreb,Croacia
Kristijan Jakic,Croacia,Augsburg,Alemania
Petar Sucic,Croacia,Dinamo Zagreb,Croacia
Nikola Moro,Croacia,Bologna,Italia
Toni Fruk,Croacia,Rijeka,Croacia
Ivan Perisic,Croacia,Hajduk Split,Croacia
Andrej Kramaric,Croacia,Hoffenheim,Alemania
Ante Budimir,Croacia,Osasuna,España
Marco Pasalic,Croacia,Rijeka,Croacia
Petar Musa,Croacia,FC Dallas,Estados Unidos
Igor Matanovic,Croacia,Eintracht Frankfurt,Alemania
Orlando Mosquera,Panamá,Al-Fayha,Arabia Saudita
Mike Maignan,Francia,AC Milan,Italia
Robin Risser,Francia,RC Lens,Francia
Brice Samba,Francia,RC Lens,Francia
Lucas Digne,Francia,Aston Villa,Inglaterra
Malo Gusto,Francia,Chelsea,Inglaterra
Lucas Hernandez,Francia,Paris Saint-Germain,Francia
Theo Hernandez,Francia,Al-Hilal,Arabia Saudita
Ibrahima Konate,Francia,Liverpool,Inglaterra
Jules Kounde,Francia,Barcelona,España
Maxence Lacroix,Francia,Crystal Palace,Inglaterra
William Saliba,Francia,Arsenal,Inglaterra
Dayot Upamecano,Francia,Bayern Múnich,Alemania
N'Golo Kante,Francia,Fenerbahçe,Turquía
Manu Kone,Francia,Roma,Italia
Adrien Rabiot,Francia,AC Milan,Italia
Aurelien Tchouameni,Francia,Real Madrid,España
Warren Zaire-Emery,Francia,Paris Saint-Germain,Francia
Maghnes Akliouche,Francia,Monaco,Francia
Bradley Barcola,Francia,Paris Saint-Germain,Francia
Rayan Cherki,Francia,Manchester City,Inglaterra
Ousmane Dembele,Francia,Paris Saint-Germain,Francia
Desire Doue,Francia,Paris Saint-Germain,Francia
Jean-Philippe Mateta,Francia,Crystal Palace,Inglaterra
Kylian Mbappe,Francia,Real Madrid,España
Michael Olise,Francia,Bayern Múnich,Alemania
Marcus Thuram,Francia,Inter de Milán,Italia
Dean Henderson,Inglaterra,Crystal Palace,Inglaterra
Jordan Pickford,Inglaterra,Everton,Inglaterra
James Trafford,Inglaterra,Burnley,Inglaterra
Dan Burn,Inglaterra,Newcastle United,Inglaterra
Marc Guehi,Inglaterra,Crystal Palace,Inglaterra
Reece James,Inglaterra,Chelsea,Inglaterra
Ezri Konsa,Inglaterra,Aston Villa,Inglaterra
Tino Livramento,Inglaterra,Newcastle United,Inglaterra
Nico O'Reilly,Inglaterra,Manchester City,Inglaterra
Jarell Quansah,Inglaterra,Liverpool,Inglaterra
Djed Spence,Inglaterra,Genoa,Italia
John Stones,Inglaterra,Manchester City,Inglaterra
Elliott Anderson,Inglaterra,Nottingham Forest,Inglaterra
Jude Bellingham,Inglaterra,Real Madrid,España
Eberechi Eze,Inglaterra,Crystal Palace,Inglaterra
Jordan Henderson,Inglaterra,Ajax,Países Bajos
Kobbie Mainoo,Inglaterra,Manchester United,Inglaterra
Declan Rice,Inglaterra,Arsenal,Inglaterra
Morgan Rogers,Inglaterra,Aston Villa,Inglaterra
Anthony Gordon,Inglaterra,Newcastle United,Inglaterra
Harry Kane,Inglaterra,Bayern Múnich,Alemania
Noni Madueke,Inglaterra,Chelsea,Inglaterra
Marcus Rashford,Inglaterra,Manchester United,Inglaterra
Bukayo Saka,Inglaterra,Arsenal,Inglaterra
Ivan Toney,Inglaterra,Al-Ahli,Arabia Saudita
Ollie Watkins,Inglaterra,Aston Villa,Inglaterra
Diogo Costa,Portugal,FC Porto,Portugal
José Sá,Portugal,Wolverhampton Wanderers,Inglaterra
Rui Silva,Portugal,Sporting CP,Portugal
Nélson Semedo,Portugal,Fenerbahçe SK,Turquía
Rúben Dias,Portugal,Manchester City,Inglaterra
Tomás Araújo,Portugal,SL Benfica,Portugal
Diogo Dalot,Portugal,Manchester United,Inglaterra
Renato Veiga,Portugal,Villarreal,España
Gonçalo Inácio,Portugal,Sporting CP,Portugal
João Cancelo,Portugal,FC Barcelona,España
Nuno Mendes,Portugal,Paris Saint-Germain,Francia
Matheus Nunes,Portugal,Manchester City,Inglaterra
Bruno Fernandes,Portugal,Manchester United,Inglaterra
Bernardo Silva,Portugal,Manchester City,Inglaterra
João Neves,Portugal,Paris Saint-Germain,Francia
Rúben Neves,Portugal,Al Hilal,Arabia Saudita
Vitinha,Portugal,Paris Saint-Germain,Francia
Samuel Costa,Portugal,Mallorca,España
Cristiano Ronaldo,Portugal,Al Nassr,Arabia Saudita
Gonçalo Ramos,Portugal,Paris Saint-Germain,Francia
João Félix,Portugal,Al Nassr,Arabia Saudita
Francisco Trincão,Portugal,Sporting CP,Portugal
Rafael Leão,Portugal,AC Milan,Italia
Pedro Neto,Portugal,Chelsea,Inglaterra
Gonçalo Guedes,Portugal,Real Sociedad,España
Francisco Conceição,Portugal,Juventus,Italia
David Ospina,Colombia,Atlético Nacional,Colombia
Camilo Vargas,Colombia,Atlas,México
Álvaro Montero,Colombia,Millonarios,Colombia
Daniel Muñoz,Colombia,Crystal Palace,Inglaterra
Jhon Lucumí,Colombia,Bologna,Italia
Santiago Arias,Colombia,Bahia,Brasil
Yerry Mina,Colombia,Cruzeiro,Brasil
Gustavo Puerta,Colombia,Bayer Leverkusen,Alemania
Johan Mojica,Colombia,Mallorca,España
Willer Ditta,Colombia,Cruz Azul,México
Deiver Machado,Colombia,Lens,Francia
Davinson Sánchez,Colombia,Galatasaray,Turquía
Kevin Castaño,Colombia,Krasnodar,Rusia
Richard Ríos,Colombia,Palmeiras,Brasil
Jorge Carrascal,Colombia,Dynamo Moscú,Rusia
James Rodríguez,Colombia,Rayo Vallecano,España
Jhon Arias,Colombia,Fluminense,Brasil
Juan Portilla,Colombia,Talleres,Argentina
Jefferson Lerma,Colombia,Crystal Palace,Inglaterra
Juan Fernando Quintero,Colombia,Racing,Argentina
Jaminton Campaz,Colombia,Rosario Central,Argentina
Luis Díaz,Colombia,Bayern Múnich,Alemania
Jhon Córdoba,Colombia,Krasnodar,Rusia
Cucho Hernández,Colombia,Columbus Crew,Estados Unidos
Luis Suárez,Colombia,Almería,España
Andrés Gómez,Colombia,Rennes,Francia
Mory Diaw,Senegal,Le Havre AC,Francia
Yehvann Diouf,Senegal,OGC Nice,Francia
Edouard Mendy,Senegal,Al-Ahli,Arabia Saudita
Krepin Diatta,Senegal,AS Monaco,Francia
El Hadji Malick Diouf,Senegal,West Ham United,Inglaterra
Ismail Jakobs,Senegal,Galatasaray SK,Turquía
Kalidou Koulibaly,Senegal,Al-Hilal,Arabia Saudita
Antoine Mendy,Senegal,OGC Nice,Francia
Moussa Niakhate,Senegal,Lyon,Francia
Mamadou Sarr,Senegal,Chelsea,Inglaterra
Abdoulaye Seck,Senegal,Maccabi Haifa,Israel
Lamine Camara,Senegal,AS Monaco,Francia
Pathe Ciss,Senegal,Rayo Vallecano,España
Habib Diarra,Senegal,Sunderland,Inglaterra
Idrissa Gana Gueye,Senegal,Everton,Inglaterra
Pape Gueye,Senegal,Villarreal CF,España
Pape Matar Sarr,Senegal,Tottenham Hotspur,Inglaterra
Bara Sapoko Ndiaye,Senegal,Bayern Múnich,Alemania
Assane Diao,Senegal,Como,Italia
Bamba Dieng,Senegal,Lorient,Francia
Nicolas Jackson,Senegal,Chelsea,Inglaterra
Sadio Mane,Senegal,Al-Nassr,Arabia Saudita
Ibrahim Mbaye,Senegal,Paris Saint-Germain,Francia
Cherif Ndiaye,Senegal,Samsunspor,Turquía
Iliman Ndiaye,Senegal,Everton,Inglaterra
Ismaila Sarr,Senegal,Crystal Palace,Inglaterra
Uğurcan Çakır,Turquía,Galatasaray,Turquía
Altay Bayındır,Turquía,Manchester United,Inglaterra
Mert Günok,Turquía,Beşiktaş,Turquía
Ferdi Kadıoğlu,Turquía,Brighton,Inglaterra
Merih Demiral,Turquía,Al Ahli,Arabia Saudita
Zeki Çelik,Turquía,Roma,Italia
Ozan Kabak,Turquía,Hoffenheim,Alemania
Mert Müldür,Turquía,Fenerbahçe,Turquía
Abdulkerim Bardakcı,Turquía,Galatasaray,Turquía
Eren Elmalı,Turquía,Galatasaray,Turquía
Çağlar Söyüncü,Turquía,Fenerbahçe,Turquía
Samet Akaydin,Turquía,Rizespor,Turquía
Arda Güler,Turquía,Real Madrid,España
Can Uzun,Turquía,Eintracht Frankfurt,Alemania
